"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 10:38:20 IST 2025","Wed Jul 16 10:38:55 IST 2025","35293","","Searching for Airport Cab details in EaseMyTrip Website","","Cab booking with Excel data for Airport Pickup and Drop","","Cab booking with Excel data for Airport Pickup and Drop",""
"passed","Wed Jul 16 10:42:36 IST 2025","Wed Jul 16 10:43:26 IST 2025","49634","","Searching for Giftards details on EaseMyTrip","","validating the giftcards by giving Email and Mobile Number","","validating the giftcards by giving Email and Mobile Number",""
"passed","Wed Jul 16 10:39:31 IST 2025","Wed Jul 16 10:40:05 IST 2025","33379","","Searching for Outstation Cab details on EaseMyTrip","","Book Outstation for round-way trip","","Book Outstation for round-way trip",""
"passed","Wed Jul 16 10:44:14 IST 2025","Wed Jul 16 10:45:02 IST 2025","48364","","Searching for Giftards details on EaseMyTrip","","validating the giftcards by giving Email and Mobile Number","","validating the giftcards by giving Email and Mobile Number",""
"passed","Wed Jul 16 10:40:05 IST 2025","Wed Jul 16 10:40:43 IST 2025","38064","","Searching for Hourly Cab details on EaseMyTrip","","Book hourly rental with time, date and SUV filter","","Book hourly rental with time, date and SUV filter",""
"passed","Wed Jul 16 10:37:38 IST 2025","Wed Jul 16 10:38:20 IST 2025","41407","","Searching for Airport Cab details in EaseMyTrip Website","","Cab booking with Excel data for Airport Pickup and Drop","","Cab booking with Excel data for Airport Pickup and Drop",""
"passed","Wed Jul 16 10:38:55 IST 2025","Wed Jul 16 10:39:31 IST 2025","35966","","Searching for Outstation Cab details on EaseMyTrip","","Book Outstation with one-way trip","","Book Outstation with one-way trip",""
"passed","Wed Jul 16 10:41:58 IST 2025","Wed Jul 16 10:42:36 IST 2025","37865","","Searching for Hotel details on EaseMyTrip","","Fetching the hotels available for filterd options","","Fetching the hotels available for filterd options",""
"passed","Wed Jul 16 10:40:43 IST 2025","Wed Jul 16 10:41:58 IST 2025","75535","","Search Activities on EaseMyTrip","","Selecting city, date and filtering day trips","","Selecting city, date and filtering day trips",""
"passed","Wed Jul 16 10:43:26 IST 2025","Wed Jul 16 10:44:14 IST 2025","48352","","Searching for Giftards details on EaseMyTrip","","validating the giftcards by giving Email and Mobile Number","","validating the giftcards by giving Email and Mobile Number",""
